date,fav_zone,fav_budget,sc_budget,wx_budget,live_per_trade,live_daily_risk,live_exposure,live_halt,fav_max_open
2026-07-04,"[0.84, 0.94]",999999,999999,999999,3.0,999999,12,8,8
2026-07-05,"[0.84, 0.94]",999999,999999,999999,3.0,999999,20,8,8
2026-07-06,"[0.84, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-07,"[0.84, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-08,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-09,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-10,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-11,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-12,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-13,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-14,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-16,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-17,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-19,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-23,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-24,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-25,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-26,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-27,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-28,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-30,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-07-31,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-08-01,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-08-02,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-08-03,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-08-04,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-08-05,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-08-06,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-08-07,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-08-08,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-08-09,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-08-10,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-08-11,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
2026-08-12,"[0.86, 0.94]",999999,999999,999999,3.0,999999,60,12,8
