date,realized_today,balance,fills_today,settled_today,live_exposure
2026-07-03,-2.72,3.3174,27,19,3.71
2026-07-04,4.1,10.9321,39,40,8.16
2026-07-05,-1.62,69.3333,94,94,5.94
2026-07-06,-3.07,62.7535,90,89,9.59
2026-07-07,-7.07,40.5254,95,88,24.87
2026-07-08,-11.46,44.8613,60,67,9.18
2026-07-09,-1.44,46.2513,20,21,6.49
2026-07-10,0.64,46.9906,20,20,6.43
2026-07-11,1.39,48.4422,4,4,6.37
2026-07-12,3.74,53.438,3,4,5.12
2026-07-13,-0.92,57.5176,0,5,0.12
2026-07-14,0,,0,0,0.12
2026-07-16,-0.57,42.578,4,1,1.49
2026-07-17,-1.37,,3,3,1.29
2026-07-19,-1.17,,0,3,0.12
2026-07-23,0,29.8425,7,0,11.69
2026-07-24,-0.55,30.1534,3,4,10.83
2026-07-25,-0.21,30.3979,3,3,10.38
2026-07-26,-0.76,29.6611,3,3,10.36
2026-07-27,0.26,29.3906,3,3,10.90
2026-07-28,-1.28,,3,3,10.87
2026-07-30,-6.66,29.1682,3,5,3.19
2026-07-31,-0.98,27.8977,3,3,3.49
2026-08-01,-1.4,27.0658,3,4,2.93
2026-08-02,-0.84,25.9435,3,3,3.21
2026-08-03,-0.12,,0,3,2.09
2026-08-04,0,,0,0,2.09
2026-08-05,0.28,27.9785,3,1,1.34
2026-08-06,-0.34,27.9321,3,3,1.04
2026-08-07,1.96,30.2804,3,3,0.66
2026-08-08,-0.66,29.8324,3,3,0.44
2026-08-09,-0.44,28.9321,3,3,0.90
2026-08-10,0.1,,3,3,0.74
2026-08-11,-0.36,29.1923,0,1,0.38
